"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.880729970E-1,-1.558469981E-1,-8.711702228E-1,-2.550362423E-2,8.853678776E-1
2.900727300E-1,-1.350775808E-1,-8.803331852E-1,3.375030309E-2,8.912752396E-1
2.920725300E-1,-1.332449764E-1,-8.821657896E-1,5.146539584E-2,8.936550739E-1
2.940722630E-1,-1.283580661E-1,-8.852201104E-1,7.712173462E-2,8.977963015E-1
2.960719960E-1,-1.191950813E-1,-8.968265653E-1,1.168279797E-1,9.122248256E-1
2.980717290E-1,-1.161407530E-1,-8.974373937E-1,1.375973970E-1,9.153226719E-1
3.000714620E-1,-1.057560444E-1,-9.090438485E-1,1.773036420E-1,9.321918477E-1
3.020711950E-1,-1.002582610E-1,-9.292023778E-1,2.170098722E-1,9.594592552E-1
3.040709280E-1,-1.027017161E-1,-9.340893030E-1,2.335032374E-1,9.682944957E-1
3.060707280E-1,-1.008691266E-1,-9.609673619E-1,2.671008408E-1,1.002484768E0
3.080705280E-1,-9.903652966E-2,-9.670760632E-1,2.805398703E-1,1.011803817E0
3.100701940E-1,-1.008691266E-1,-1.005560517E0,3.196352422E-1,1.059949632E0
3.120699270E-1,-9.903652966E-2,-1.020832181E0,3.318525553E-1,1.077976203E0
3.140696600E-1,-9.781479836E-2,-1.034882069E0,3.416263759E-1,1.094192493E0
3.160693930E-1,-9.842566401E-2,-1.066036224E0,3.587306142E-1,1.129074177E0
3.180691260E-1,-9.903652966E-2,-1.080086112E0,3.697261810E-1,1.145902130E0
3.200688590E-1,-1.008691266E-1,-1.117348909E0,3.868304193E-1,1.186710133E0
3.220686590E-1,-1.045343131E-1,-1.158276916E0,4.033237696E-1,1.230935782E0
3.240683920E-1,-1.051451787E-1,-1.179657102E0,4.106541574E-1,1.253508366E0
3.260677250E-1,-1.075886413E-1,-1.221806884E0,4.277583957E-1,1.298985998E0
3.280677250E-1,-1.118647009E-1,-1.258458734E0,4.442517459E-1,1.339250428E0
3.300674580E-1,-1.100321040E-1,-1.296943307E0,4.607451260E-1,1.380744392E0
3.320674910E-1,-1.057560444E-1,-1.312214851E0,4.729624093E-1,1.398851528E0
3.340672240E-1,-1.045343131E-1,-1.332373500E0,4.815145433E-1,1.420564262E0
3.360669570E-1,-1.014799923E-1,-1.362305880E0,5.016731024E-1,1.455283959E0
3.380667570E-1,-9.353873879E-2,-1.394681692E0,5.206099153E-1,1.491616976E0
3.400664900E-1,-8.926268667E-2,-1.413618565E0,5.316054821E-1,1.512907685E0
3.420662230E-1,-7.765624672E-2,-1.442940116E0,5.499314666E-1,1.546134305E0
3.440659560E-1,-7.826711237E-2,-1.460044265E0,5.572618246E-1,1.564735037E0
3.460656890E-1,-7.154759020E-2,-1.489365816E0,5.707008839E-1,1.596567910E0
3.480654220E-1,-6.910412759E-2,-1.524796009E0,5.816964507E-1,1.633446972E0
3.500646550E-1,-7.765624672E-2,-1.561447978E0,5.859724879E-1,1.669584990E0
3.520653210E-1,-8.620835841E-2,-1.582828164E0,5.871942043E-1,1.690436012E0
3.540651210E-1,-9.781479836E-2,-1.602375865E0,5.847507715E-1,1.708540199E0
3.560648540E-1,-1.222494096E-1,-1.643303871E0,5.780312419E-1,1.746285386E0
3.580645870E-1,-1.601230502E-1,-1.684842706E0,5.658139586E-1,1.784511073E0
3.600643200E-1,-1.857793927E-1,-1.703779578E0,5.554292202E-1,1.801632719E0
3.620640530E-1,-2.377029359E-1,-1.740431428E0,5.364924073E-1,1.836689507E0
3.640637860E-1,-2.700788081E-1,-1.758146524E0,5.230533481E-1,1.854078361E0
3.660635190E-1,-3.384957016E-1,-1.783192039E0,4.961752892E-1,1.881633095E0
3.680632520E-1,-4.172973335E-1,-1.802739739E0,4.625777006E-1,1.907350456E0
3.700634850E-1,-5.022075772E-1,-1.814346194E0,4.283692539E-1,1.930690234E0
3.720637510E-1,-5.468007326E-1,-1.818622231E0,4.137084782E-1,1.943587551E0
3.740634840E-1,-6.378196478E-1,-1.816178679E0,3.788891733E-1,1.961855220E0
3.760632170E-1,-6.860780120E-1,-1.811291814E0,3.617849350E-1,1.970372912E0
3.780629500E-1,-7.813730240E-1,-1.796631098E0,3.281873465E-1,1.986487865E0
3.800626830E-1,-8.277987838E-1,-1.786246300E0,3.135266006E-1,1.993545986E0
3.820624160E-1,-9.218720198E-1,-1.760589957E0,2.835941911E-1,2.007473707E0
3.840622160E-1,-1.007393122E0,-1.734933615E0,2.536617815E-1,2.022172062E0
3.860624160E-1,-1.051375389E0,-1.715385914E0,2.420553565E-1,2.026457460E0
3.880621490E-1,-1.127733588E0,-1.684842706E0,2.163990140E-1,2.038947405E0
3.900618820E-1,-1.226082921E0,-1.634751797E0,1.895209402E-1,2.052220981E0
3.920616480E-1,-1.226082921E0,-1.634751797E0,1.895209402E-1,2.052220981E0
3.940613810E-1,-1.276173830E0,-1.606041074E0,1.779145002E-1,2.059038889E0
3.960611140E-1,-1.299386740E0,-1.590769410E0,1.711949855E-1,2.061130985E0
3.980608470E-1,-1.329929948E0,-1.569389224E0,1.675297916E-1,2.063919193E0
4.000606470E-1,-1.343369007E0,-1.559004426E0,1.626428664E-1,2.064361352E0
4.020604130E-1,-1.362916708E0,-1.547397971E0,1.620320082E-1,2.068389907E0
4.040601460E-1,-1.367803693E0,-1.544954538E0,1.638645977E-1,2.069933109E0
4.060598790E-1,-1.370247126E0,-1.550452352E0,1.669189334E-1,2.075895376E0
4.080596120E-1,-1.362916708E0,-1.571221709E0,1.736384481E-1,2.087206248E0
4.100598450E-1,-1.336038709E0,-1.621923566E0,1.907426715E-1,2.109980628E0
4.120601780E-1,-1.336038709E0,-1.621923566E0,1.907426715E-1,2.109980628E0
4.140599110E-1,-1.303662777E0,-1.670792818E0,2.029599845E-1,2.128914755E0
4.160597110E-1,-1.290223718E0,-1.700114369E0,2.139555514E-1,2.144957596E0
4.180594440E-1,-1.242576241E0,-1.757535696E0,2.298380435E-1,2.164660011E0
4.200591770E-1,-1.186987519E0,-1.827174306E0,2.499966025E-1,2.193172044E0
4.220589100E-1,-1.155222535E0,-1.863215327E0,2.671008408E-1,2.208495714E0
4.240586430E-1,-1.087416530E0,-1.945682168E0,2.945897579E-1,2.248318690E0
4.260583760E-1,-1.045266747E0,-1.984777570E0,3.147483170E-1,2.265169106E0
4.280581090E-1,-9.597456455E-1,-2.061746597E0,3.483459055E-1,2.300707631E0
4.300578420E-1,-8.076401949E-1,-2.175367594E0,4.094324410E-1,2.356298321E0
4.320579080E-1,-8.076401949E-1,-2.175367594E0,4.094324410E-1,2.356298321E0
4.340576410E-1,-7.074583173E-1,-2.252947330E0,4.570799172E-1,2.405242398E0
4.360573740E-1,-6.500369906E-1,-2.295707941E0,4.784601927E-1,2.433464032E0
4.380571070E-1,-5.461899042E-1,-2.391613722E0,5.328271985E-1,2.510387307E0
4.400568400E-1,-4.362341464E-1,-2.504623890E0,5.908594131E-1,2.610087337E0
4.420565730E-1,-3.885866404E-1,-2.578538656E0,6.195700765E-1,2.680247798E0
4.440566060E-1,-3.207806051E-1,-2.860147476E0,7.093672752E-1,2.964210808E0
4.460563390E-1,-2.902373374E-1,-2.996370316E0,7.551821470E-1,3.103670868E0
4.480561390E-1,-2.413681298E-1,-3.220557928E0,8.443684578E-1,3.338144699E0
4.500558720E-1,-1.711186320E-1,-3.471012592E0,9.757044911E-1,3.609599598E0
4.520557380E-1,-1.711186320E-1,-3.471012592E0,9.757044911E-1,3.609599598E0
4.540554710E-1,-1.246928647E-1,-3.593796492E0,1.060003877E0,3.748937150E0
4.560552040E-1,-9.414960444E-2,-3.700697899E0,1.105207920E0,3.863355230E0
4.580549370E-1,-3.489567712E-2,-3.740404367E0,1.191950798E0,3.925887065E0
4.600542370E-1,3.168863431E-2,-3.812486410E0,1.275639296E0,4.020362224E0
4.620540030E-1,6.101016700E-2,-3.838753462E0,1.318399906E0,4.059301503E0
4.640538030E-1,1.300379336E-1,-3.885179281E0,1.400866747E0,4.132064321E0
4.660535360E-1,2.008983046E-1,-3.904116154E0,1.483333588E0,4.181239242E0
4.680532690E-1,2.351067662E-1,-3.904116154E0,1.522428870E0,4.197045127E0
4.700530020E-1,3.365103900E-1,-3.890066147E0,1.646434546E0,4.237522930E0
4.720512350E-1,3.365103900E-1,-3.890066147E0,1.646434546E0,4.237522930E0
4.740509680E-1,4.000403881E-1,-3.871129513E0,1.723403573E0,4.256265487E0
4.760507010E-1,4.641812146E-1,-3.844251394E0,1.806481242E0,4.272833657E0
4.780505010E-1,4.910593033E-1,-3.831423283E0,1.849241853E0,4.282597231E0
4.800503010E-1,5.460371971E-1,-3.807599545E0,1.932930350E0,4.304903094E0
4.820500340E-1,5.668066144E-1,-3.794160366E0,1.981799603E0,4.317922219E0
4.840497670E-1,6.083454490E-1,-3.753843307E0,2.072207689E0,4.330758417E0
4.860495000E-1,6.443864703E-1,-3.701919794E0,2.163226604E0,4.335780602E0
4.880492330E-1,6.578255296E-1,-3.681761265E0,2.210263252E0,4.344348522E0
4.900489660E-1,7.060838938E-1,-3.631670237E0,2.404518366E0,4.412402038E0
4.920486320E-1,7.060838938E-1,-3.631670237E0,2.404518366E0,4.412402038E0
4.940479980E-1,7.286858559E-1,-3.575470686E0,2.538908720E0,4.445338141E0
4.960477310E-1,7.415140271E-1,-3.518660069E0,2.672077417E0,4.480045698E0
4.980474640E-1,7.476227283E-1,-3.499112368E0,2.734996319E0,4.503657621E0
5.000471970E-1,7.482335567E-1,-3.472234488E0,2.860223770E0,4.560388778E0
5.020469300E-1,7.439575195E-1,-3.471623659E0,2.973233938E0,4.630957101E0
5.040463630E-1,7.335727811E-1,-3.478953838E0,3.021492243E0,4.665904436E0
5.060460960E-1,7.085273266E-1,-3.505221128E0,3.109456778E0,4.738914178E0
5.080458290E-1,6.914231181E-1,-3.529044867E0,3.146108627E0,4.778098272E0
5.100454620E-1,6.138432026E-1,-3.604181290E0,3.228575468E0,4.877563511E0
5.120437950E-1,5.796347857E-1,-3.634113789E0,3.242014647E0,4.904428456E0
5.140435280E-1,5.380959511E-1,-3.664656878E0,3.251788378E0,4.928832005E0
5.160432610E-1,4.501313269E-1,-3.733073950E0,3.253010035E0,4.971974820E0
5.180429940E-1,3.939317167E-1,-3.768504143E0,3.239571095E0,4.985140575E0
5.200431600E-1,2.778673172E-1,-3.844251394E0,3.202308416E0,5.011013692E0
5.220428930E-1,1.495856196E-1,-3.915111780E0,3.141832590E0,5.022109928E0
5.240426260E-1,7.933612168E-2,-3.945654869E0,3.104569912E0,5.021238981E0
5.260424260E-1,-6.116288155E-2,-4.002465248E0,3.013550997E0,5.010484864E0
5.280421590E-1,-1.369101703E-1,-4.024456501E0,2.962238312E0,4.998984931E0
5.300410920E-1,-3.610977232E-1,-4.056221485E0,2.800969839E0,4.942545533E0
5.320417250E-1,-4.325689375E-1,-4.057443142E0,2.750878811E0,4.921107088E0
5.340414580E-1,-5.040401816E-1,-4.056832314E0,2.703231335E0,4.900959556E0
5.360411910E-1,-6.408740282E-1,-4.043393612E0,2.622597218E0,4.861868734E0
5.380409240E-1,-7.074583173E-1,-4.034230232E0,2.586556196E0,4.844149440E0
5.400406570E-1,-8.290205002E-1,-4.017126083E0,2.534632683E0,4.821715441E0
5.420404570E-1,-9.359219074E-1,-4.012850285E0,2.502256870E0,4.820809752E0
5.440392900E-1,-9.811259508E-1,-4.017126083E0,2.491872072E0,4.827974371E0
5.460390560E-1,-1.061149240E0,-4.039728165E0,2.483319998E0,4.859250926E0
5.480388220E-1,-1.116738081E0,-4.083099842E0,2.490650415E0,4.911430316E0
5.500385880E-1,-1.145448685E0,-4.135023117E0,2.516306639E0,4.974160026E0
5.520376210E-1,-1.150335670E0,-4.161290646E0,2.534021854E0,5.006084173E0
5.540378210E-1,-1.152168155E0,-4.190001011E0,2.552347660E0,5.039650633E0
5.560376540E-1,-1.137507439E0,-4.244978905E0,2.601827860E0,5.107178995E0
5.580374870E-1,-1.114905477E0,-4.312785149E0,2.680018663E0,5.198618085E0
5.600372530E-1,-1.110018492E0,-4.362265110E0,2.728887796E0,5.263869921E0
5.620370190E-1,-1.097801208E0,-4.471610069E0,2.853504181E0,5.416913348E0
5.640367850E-1,-1.092303395E0,-4.519868374E0,2.917034149E0,5.489209875E0
5.660365510E-1,-1.069090486E0,-4.591339588E0,3.036763906E0,5.607609892E0
5.680363170E-1,-1.039769053E0,-4.656702042E0,3.154049873E0,5.719617487E0
5.700360830E-1,-9.945649505E-1,-4.720232010E0,3.262784004E0,5.823702356E0
5.720368490E-1,-9.646325707E-1,-4.749553680E0,3.318983555E0,5.874046986E0
5.740366150E-1,-9.383653998E-1,-4.784983635E0,3.372128963E0,5.928562368E0
5.760363810E-1,-8.620072007E-1,-4.849735737E0,3.483306408E0,6.032944278E0
5.780361470E-1,-7.685448527E-1,-4.915709019E0,3.604868412E0,6.144097380E0
5.800359130E-1,-7.184538841E-1,-4.939532757E0,3.667176723E0,6.193815057E0
5.820356790E-1,-6.005569100E-1,-5.000619411E0,3.785684586E0,6.300656385E0
5.840354450E-1,-5.431355834E-1,-5.025053978E0,3.844327688E0,6.350198353E0
5.860352110E-1,-4.069126248E-1,-5.088583946E0,3.946953058E0,6.452728330E0
5.880350440E-1,-2.639701366E-1,-5.166774750E0,4.031863213E0,6.559051952E0
5.900356100E-1,-1.246928647E-1,-5.254739285E0,4.103334427E0,6.668222153E0
5.920357430E-1,-5.138903856E-2,-5.298721313E0,4.133266926E0,6.720341053E0
5.940355090E-1,8.849909902E-2,-5.373247147E0,4.184579849E0,6.811044377E0
5.960352750E-1,1.611920595E-1,-5.409287930E0,4.207792759E0,6.855063726E0
5.980350410E-1,2.992476225E-1,-5.464265823E0,4.243833542E0,6.925162327E0
6.000348070E-1,3.682753742E-1,-5.488700390E0,4.259105206E0,6.957114048E0
6.020345730E-1,5.044983625E-1,-5.525963306E0,4.278652668E0,7.006972079E0
6.040353060E-1,6.327800155E-1,-5.549787045E0,4.283539772E0,7.039123508E0
6.060350390E-1,6.999751925E-1,-5.555895805E0,4.282318115E0,7.049552604E0
6.080347720E-1,8.245916963E-1,-5.561393738E0,4.265213966E0,7.056989581E0
6.100345720E-1,9.907470942E-1,-5.537570000E0,4.212068558E0,7.027644189E0
6.120343050E-1,9.907470942E-1,-5.537570000E0,4.212068558E0,7.027644189E0
6.140340380E-1,1.082987666E0,-5.498474598E0,4.150371075E0,6.973640745E0
6.160337710E-1,1.126970053E0,-5.470985413E0,4.113108635E0,6.936815229E0
6.180335040E-1,1.191110849E0,-5.397070885E0,4.024532795E0,6.836957175E0
6.200333040E-1,1.216767192E0,-5.359197140E0,3.973220348E0,6.781445002E0
6.220330370E-1,1.252808213E0,-5.270010948E0,3.869984150E0,6.657275804E0
6.240327700E-1,1.277242899E0,-5.174105167E0,3.763082743E0,6.524071232E0
6.260325030E-1,1.285184145E0,-5.119738102E0,3.709326506E0,6.451551724E0
6.280318030E-1,1.289460182E0,-5.004284382E0,3.607311964E0,6.302243199E0
6.300317030E-1,1.271134257E0,-4.808196545E0,3.483917236E0,6.072249634E0
6.320314360E-1,1.271134257E0,-4.808196545E0,3.483917236E0,6.072249634E0
6.340312360E-1,1.246699572E0,-4.675027847E0,3.421608925E0,5.926006482E0
6.360310360E-1,1.224708438E0,-4.604167938E0,3.396563530E0,5.851061184E0
