"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.955920870E-1,-4.489859566E-2,-4.032474160E-1,-1.333213449E-1,4.270818931E-1
1.975919530E-1,-2.657263726E-2,-4.014148116E-1,-1.418734491E-1,4.265771110E-1
1.995918190E-1,-6.414085161E-3,-3.995822370E-1,-1.485929638E-1,4.263648362E-1
2.015916850E-1,1.527163084E-3,-3.928627074E-1,-1.528690308E-1,4.215594616E-1
2.035915510E-1,1.679879427E-2,-3.867540658E-1,-1.589776874E-1,4.184911133E-1
2.055914170E-1,3.268129006E-2,-3.782019317E-1,-1.638645977E-1,4.134687101E-1
2.075913170E-1,3.268129006E-2,-3.782019317E-1,-1.638645977E-1,4.134687101E-1
2.095907170E-1,3.634648025E-2,-3.720932901E-1,-1.656972021E-1,4.089377042E-1
2.115905500E-1,4.306599870E-2,-3.647629023E-1,-1.644754708E-1,4.024410958E-1
2.135903830E-1,4.856378585E-2,-3.598759770E-1,-1.644754708E-1,3.986493956E-1
2.155902160E-1,5.222897977E-2,-3.562107980E-1,-1.589776874E-1,3.935580059E-1
2.175900490E-1,5.955936015E-2,-3.513238728E-1,-1.577559561E-1,3.896956795E-1
2.195898820E-1,6.139195710E-2,-3.433826268E-1,-1.534798890E-1,3.810993008E-1
2.215897480E-1,6.566801667E-2,-3.384957016E-1,-1.528690308E-1,3.771744543E-1
2.235896140E-1,6.566801667E-2,-3.305544555E-1,-1.479821056E-1,3.680723299E-1
2.255894140E-1,6.688974798E-2,-3.152828217E-1,-1.430951804E-1,3.526382377E-1
2.275891800E-1,6.750060618E-2,-3.097850382E-1,-1.443169117E-1,3.483539475E-1
2.295890800E-1,6.383541971E-2,-3.067307174E-1,-1.418734491E-1,3.439284364E-1
2.315888800E-1,6.505715102E-2,-3.018437922E-1,-1.424843222E-1,3.400645378E-1
2.335886800E-1,5.711590126E-2,-2.926808000E-1,-1.430951804E-1,3.307574753E-1
2.355884800E-1,5.222897977E-2,-2.865721583E-1,-1.418734491E-1,3.240054688E-1
2.375882800E-1,5.161811411E-2,-2.798526287E-1,-1.412625909E-1,3.177059066E-1
2.395880800E-1,4.795292020E-2,-2.706896663E-1,-1.406517178E-1,3.087965086E-1
2.415878130E-1,4.367686436E-2,-2.639701366E-1,-1.424843222E-1,3.031331120E-1
2.435875460E-1,3.940080851E-2,-2.511419654E-1,-1.418734491E-1,2.911233176E-1
2.455872790E-1,3.023782931E-2,-2.315942794E-1,-1.430951804E-1,2.739095968E-1
2.475870120E-1,2.901609987E-2,-2.242639065E-1,-1.424843222E-1,2.672789103E-1
2.495863120E-1,2.657263726E-2,-2.181552500E-1,-1.443169117E-1,2.629166962E-1
