"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
3.743116090E-1,-4.511239827E-1,-2.054416180E0,-1.785253733E-1,2.110926336E0
3.763113420E-1,-5.586362481E-1,-1.916360617E0,-1.736384481E-1,2.003662342E0
3.783106420E-1,-5.586362481E-1,-1.916360617E0,-1.736384481E-1,2.003662342E0
3.803103750E-1,-5.891795158E-1,-1.883984804E0,-1.656972021E-1,1.980905552E0
3.823101080E-1,-6.417139173E-1,-1.834504724E0,-1.547016203E-1,1.949650462E0
3.843098410E-1,-6.881396770E-1,-1.792354941E0,-1.394299865E-1,1.924970954E0
3.863095740E-1,-7.131851912E-1,-1.772196412E0,-1.296561509E-1,1.914712500E0
3.883093070E-1,-7.614435554E-1,-1.734322786E0,-1.131627858E-1,1.897492459E0
3.903090400E-1,-7.864890099E-1,-1.718440294E0,-1.009454802E-1,1.892562284E0
3.923088400E-1,-8.304712772E-1,-1.698281765E0,-8.384125680E-2,1.892319437E0
3.943087400E-1,-8.665123582E-1,-1.687286139E0,-6.612616032E-2,1.897933310E0
3.963084730E-1,-9.202684760E-1,-1.705612063E0,-4.352414981E-2,1.938530611E0
3.983087060E-1,-9.202684760E-1,-1.705612063E0,-4.352414981E-2,1.938530611E0
4.003084390E-1,-9.398161769E-1,-1.722105503E0,-3.985895589E-2,1.962266686E0
4.023081720E-1,-9.648616314E-1,-1.766087770E0,-3.008511290E-2,2.012692002E0
4.043079050E-1,-9.911288619E-1,-1.827174306E0,-2.031126991E-2,2.078777264E0
4.063076380E-1,-1.004567862E0,-1.868102312E0,-2.153299935E-2,2.121185166E0
4.083074380E-1,-1.021672130E0,-1.959121227E0,-2.214386500E-2,2.209628990E0
4.103076040E-1,-1.030224204E0,-2.015320778E0,-2.214386500E-2,2.263486271E0
4.123073370E-1,-1.039387226E0,-2.151543856E0,-2.580905706E-2,2.389588432E0
4.143070700E-1,-1.037554622E0,-2.328083754E0,-2.092213556E-2,2.548907863E0
4.163068030E-1,-1.034500241E0,-2.555325747E0,-4.046982154E-2,2.757085096E0
4.183069360E-1,-1.034500241E0,-2.555325747E0,-4.046982154E-2,2.757085096E0
4.203066690E-1,-1.040609002E0,-2.629851341E0,-5.207626149E-2,2.828727118E0
